ride_id,timestamp,origin_lat,origin_lon,dest_lat,dest_lon,vehicle_type,trip_distance,trip_duration,fare,hour,day_of_week,is_rush_hour
R000001,2024-01-21 03:01:47,40.690284,-74.026691,40.736038,-73.983385,sedan,6.26,7.34,14.0,3,6,0
R000002,2024-01-29 17:05:37,40.673028,-73.973044,40.695696,-74.022163,economy,4.85,18.48,21.36,17,0,1
R000003,2024-01-20 00:35:12,40.684164,-74.034494,40.695182,-74.003772,economy,2.87,3.32,5.39,0,5,0
R000004,2024-01-15 18:17:51,40.722867,-74.038446,40.694093,-74.018027,economy,3.63,16.66,17.59,18,0,1
R000005,2024-01-14 10:17:09,40.723138,-74.043124,40.695078,-73.980445,economy,6.14,10.86,13.37,10,6,0
R000006,2024-01-28 11:38:16,40.673655,-73.9656,40.754707,-73.978244,sedan,9.08,14.62,25.31,11,6,0
R000007,2024-01-30 12:05:35,40.719791,-74.026739,40.678783,-74.006434,sedan,4.87,9.04,14.91,12,1,0
R000008,2024-01-02 21:14:49,40.733844,-74.000798,40.717004,-74.034363,suv,3.39,6.83,17.04,21,1,0
R000009,2024-01-13 08:29:40,40.675764,-74.033362,40.722222,-74.037506,economy,5.18,15.88,16.89,8,5,1
R000010,2024-01-09 22:59:43,40.742386,-74.018892,40.693084,-74.002157,economy,5.66,11.69,12.55,22,1,0
R000011,2024-01-24 07:10:29,40.684415,-74.022942,40.668297,-73.977608,sedan,4.22,14.37,22.92,7,2,1
R000012,2024-01-25 01:14:52,40.718604,-74.037546,40.745479,-73.994903,economy,4.67,6.23,7.91,1,3,0
R000013,2024-01-30 18:56:45,40.692268,-73.986981,40.701863,-73.974219,economy,1.52,6.02,9.65,18,1,1
R000014,2024-01-05 07:47:35,40.678563,-73.986808,40.736271,-74.000485,economy,6.52,23.39,24.3,7,4,1
R000015,2024-01-19 12:23:14,40.714846,-74.012521,40.698235,-73.982495,economy,3.13,6.32,7.35,12,4,0
